Asset ID,Host Name,Friendly Name,Asset Type,Asset Category,Description,Business Owner,Technical Owner,Department,Custodian,Environment,Location,Region/AZ,Physical Location,Operating System,OS Version,IP Address,Hostname / URL,Patch Status,End of Life (Y/N),Data Classification,Data Types Stored,Contains PII (Y/N),Contains PCI Data (Y/N),Sensitivity Score (1-5),In Scope ISO 27001 (Y/N),Compliance Tags,Risk Rating,Last Risk Review Date,Status,Date Added,Last Updated,Decommission Date,Notes,Related Controls
C3-011,teams-c3-tenant,Microsoft Teams,SaaS Tool,Productivity,"Microsoft Teams for internal messaging, video meetings, and virtual crochet instruction sessions -- included in M365 E3",Penny Walsh,IT Admin (Jordan Ellis),All Departments,IT Admin,Corporate,SaaS (Microsoft 365),N/A,N/A,N/A,N/A,N/A,teams.microsoft.com,Current,No,Internal,"Internal Communications, Meeting Recordings, Customer Support Chats",No,No,2,Yes,ISO 27001,,,Active,2025-01-01,2025-01-15,N/A,SSO via Entra ID. Message retention policy: 1 year. Meeting recordings stored in OneDrive. No PCI data permitted in Teams chats.,"A.13.2.1, A.9.4.2"
C3-012,stripe-c3-account,Stripe Payment Processor,SaaS Tool,Payment Processing,Third-party payment processor handling all subscription billing for C3,Marcus Okafor,Engineering Team,Finance / Engineering,Engineering Team,Production,SaaS (Stripe),N/A,N/A,N/A,N/A,N/A,dashboard.stripe.com,Current,No,Restricted,"Payment Card Data (tokenized), Billing History",No,Yes,5,Yes,"ISO 27001, PCI DSS",,,Active,2023-06-01,2025-01-15,N/A,C3 never stores raw card data. Stripe handles PCI scope. Webhook secrets rotated quarterly.,"A.15.1.1, A.18.1.3"
C3-013,entra-id-c3-tenant,Microsoft Entra ID (Azure AD),Identity & Access Management,Cloud Infrastructure,"Microsoft Entra ID (formerly Azure AD) serving as the primary identity provider for C3. Manages SSO, MFA, and Conditional Access across all SaaS and AWS (via SAML federation).",Penny Walsh,IT Admin (Jordan Ellis),Engineering,IT Admin,Corporate,SaaS (Microsoft Azure),N/A,N/A,N/A,N/A,N/A,entra.microsoft.com,Current,No,Restricted,"Identity Records, Access Policies, Conditional Access Rules, MFA Configs",No,No,5,Yes,ISO 27001,,,Active,2025-01-01,2025-01-15,N/A,Primary IdP. AWS IAM federated via SAML. Conditional Access policies enforce MFA + compliant device requirement. Global admin accounts use hardware keys. Reviewed monthly. AWS IAM still exists for resource-level permissions but Entra ID controls authentication.,"A.9.2.1, A.9.2.3, A.9.4.2, A.9.4.3"
C3-014,figma-c3-org,Figma,SaaS Tool,Design & Productivity,"Cloud-based design tool used by the Product team for UI/UX design, wireframing, and the C3 design system.",Camille Fontaine,Camille Fontaine,Product,IT Admin,Corporate,SaaS (Figma),,,,,,figma.com/files/team/crochetcrochetcrochet,Current,No,Internal,"Design Files, Wireframes, Brand Assets, UI Prototypes",No,No,2,Yes,ISO 27001,,,Active,2023-03-15,2025-01-15,,Camille is org admin. Theo has editor access. SSO via Entra ID. No PII or PCI data stored.,"A.9.2.3, A.5.19"
C3-015,intercom-c3-workspace,Intercom,SaaS Tool,Customer Support,Customer messaging and support ticketing platform used by the Customer Success team to manage inbound support requests.,Rachel Kim,Rachel Kim,Customer Success,IT Admin,Corporate,SaaS (Intercom),,,,,,app.intercom.com/a/apps/crochetcrochetcrochet,Current,No,Confidential,"Customer Names, Email Addresses, Support Ticket Content, Chat Logs",Yes,No,4,Yes,ISO 27001,,,Active,2023-04-15,2025-01-15,,Rachel is workspace admin. Derek has agent access. SSO via Entra ID. Customer PII in ticket content. Data retention policy review pending.,"A.5.19, A.18.1.4, A.13.2.1"
C3-016,c3-vpn-prod,Corporate VPN,Network Device,Cloud Infrastructure,AWS Client VPN endpoint providing secure remote access to internal resources,Devon Nakamura,Cloud Ops Team,Engineering,Cloud Ops Team,Production,AWS Client VPN,us-east-1,N/A (Cloud),N/A,N/A,N/A,vpn.internal.crochetcrochetcrochet.com,Current,No,Internal,"Network Access Logs, Employee Connection Data",No,No,3,Yes,ISO 27001,,,Active,2023-07-01,2025-01-15,N/A,Certificate-based auth + MFA. Required for admin portal access. Logs retained 90 days.,"A.9.4.2, A.13.1.1"
C3-017,zoom-c3-account,Zoom (Decommissioned),SaaS Tool,Productivity,Video conferencing tool used for virtual crochet instruction sessions and internal meetings,Camille Fontaine,IT Admin,All Departments,IT Admin,Corporate,SaaS (Zoom),N/A,N/A,N/A,N/A,N/A,crochetcrochetcrochet.zoom.us,N/A,No,Internal,"Meeting Recordings, Customer Instruction Sessions",Yes,No,3,Yes,ISO 27001,,,Decommissioned,2023-06-01,2025-01-01,2025-01-01,Replaced by Microsoft Teams for all video meetings and virtual instruction sessions. Account closed Jan 2025.,"A.13.2.1, A.18.1.4"
C3-018,c3-forum-prod-01,Community Forum Server,Server,Cloud Infrastructure,EC2 instance running Discourse for the C3 customer community forum,Camille Fontaine,Cloud Ops Team,Product,Cloud Ops Team,Production,AWS EC2,us-east-1a,N/A (Cloud),Ubuntu,22.04 LTS,10.0.1.30,community.crochetcrochetcrochet.com,Pending Patch,No,Internal,"Usernames, Forum Posts, Email Addresses",Yes,No,3,Yes,ISO 27001,,,Active,2023-09-01,2024-10-01,N/A,PATCHING OVERDUE. Last review Oct 2024. Moderation logs kept 1 year.,"A.12.6.1, A.13.1.1"
C3-019,aws-cloudwatch-c3,AWS CloudWatch / Logging,Monitoring Tool,Cloud Infrastructure,Centralized logging and monitoring for all AWS services and application events,Devon Nakamura,Cloud Ops Team,Engineering,Cloud Ops Team,Production,AWS CloudWatch,us-east-1,N/A (Cloud),N/A,N/A,N/A,N/A,Current,No,Internal,"System Logs, Access Logs, Error Logs",No,No,3,Yes,ISO 27001,,,Active,2023-06-01,2025-01-15,N/A,Log retention set to 1 year. Alerting configured for failed logins and IAM changes.,"A.12.4.1, A.12.4.3"
C3-020,1password-c3-teams,1Password Teams,SaaS Tool,Identity & Access Management,Company-wide password manager and secrets vault for employee credentials,Penny Walsh,IT Admin,All Departments,IT Admin,Corporate,SaaS (1Password),N/A,N/A,N/A,N/A,N/A,crochetcrochetcrochet.1password.com,Current,No,Restricted,"Employee Passwords, API Keys, Shared Secrets",No,No,5,Yes,ISO 27001,,,Active,2023-05-01,2025-01-15,N/A,SSO enforced. Vaults segmented by department. Admin access requires approval workflow.,"A.9.2.4, A.9.4.3"
C3-EMP-001,mbp-emp-penny-001,Penny Walsh - MacBook Pro,Endpoint,Employee Device,MacBook Pro 16 M3 Pro assigned to CEO Penelope Walsh,Penny Walsh,IT Admin (Jordan Ellis),Executive,IT Admin,Corporate,Endpoint (macOS),N/A,Remote / Home Office,macOS,Sonoma 14.4,N/A (DHCP),N/A,Current,No,Confidential,"Executive Comms, Financial Data, Strategic Docs",Yes,No,4,Yes,ISO 27001,,,Active,2023-01-15,2025-01-10,N/A,FileVault enabled. MDM enrolled. Hardware key for all admin accounts. Screen lock 2 min.,"A.6.2.2, A.9.2.1, A.11.2.8"
C3-EMP-002,mbp-emp-marcus-001,Marcus Okafor - MacBook Pro,Endpoint,Employee Device,MacBook Pro 14 M3 assigned to CFO/COO Marcus Okafor,Marcus Okafor,IT Admin (Jordan Ellis),Executive,IT Admin,Corporate,Endpoint (macOS),N/A,Remote / Home Office,macOS,Sonoma 14.4,N/A (DHCP),N/A,Current,No,Restricted,"Financial Records, PCI-Adjacent Billing Data, Payroll",Yes,Yes,5,Yes,"ISO 27001, PCI DSS",,,Active,2023-02-01,2025-01-10,N/A,FileVault enabled. MDM enrolled. PCI-adjacent due to Stripe admin access. Hardware key enforced.,"A.6.2.2, A.9.2.3, A.11.2.8"
C3-EMP-003,mbp-emp-devon-001,Devon Nakamura - MacBook Pro,Endpoint,Employee Device,MacBook Pro 16 M3 Max assigned to CTO Devon Nakamura,Devon Nakamura,IT Admin (Jordan Ellis),Engineering,IT Admin,Corporate,Endpoint (macOS),N/A,Remote / Home Office,macOS,Sonoma 14.4,N/A (DHCP),N/A,Current,No,Restricted,"Source Code, AWS Admin Credentials, Infra Secrets",Yes,No,5,Yes,ISO 27001,,,Active,2023-02-15,2025-01-10,N/A,Full AWS admin on this device. FileVault + MDM + EDR. Hardware key. Reviewed monthly.,"A.6.2.2, A.9.2.3, A.11.2.8"
C3-EMP-004,mbp-emp-sofia-001,Sofia Reyes - MacBook Pro,Endpoint,Employee Device,MacBook Pro 14 M3 assigned to Senior Software Engineer Sofia Reyes,Devon Nakamura,IT Admin (Jordan Ellis),Engineering,IT Admin,Corporate,Endpoint (macOS),N/A,Remote / Home Office,macOS,Sonoma 14.4,N/A (DHCP),N/A,Current,No,Confidential,"Source Code, SSH Keys, Dev AWS Credentials",No,No,4,Yes,ISO 27001,,,Active,2023-03-01,2025-01-10,N/A,FileVault + MDM + EDR. No local prod DB access permitted.,"A.6.2.2, A.11.2.8"
C3-EMP-005,mba-emp-liam-001,Liam Huang - MacBook Air,Endpoint,Employee Device,MacBook Air M2 assigned to Software Engineer Liam Huang,Devon Nakamura,IT Admin (Jordan Ellis),Engineering,IT Admin,Corporate,Endpoint (macOS),N/A,Remote / Home Office,macOS,Sonoma 14.4,N/A (DHCP),N/A,Current,No,Confidential,"Source Code, Dev Credentials",No,No,3,Yes,ISO 27001,,,Active,2023-06-01,2025-01-10,N/A,FileVault + MDM. Dev environment access only.,"A.6.2.2, A.11.2.8"
C3-EMP-006,mbp-emp-jordan-001,Jordan Ellis - MacBook Pro,Endpoint,Employee Device,MacBook Pro 14 M3 assigned to DevOps & Cloud Engineer Jordan Ellis,Devon Nakamura,IT Admin (Jordan Ellis),Engineering,IT Admin,Corporate,Endpoint (macOS),N/A,Remote / Home Office,macOS,Sonoma 14.4,N/A (DHCP),N/A,Current,No,Restricted,"AWS Admin Credentials, IaC Code, Deployment Secrets",No,No,5,Yes,ISO 27001,,,Active,2023-04-01,2025-01-10,N/A,AWS admin on device. Hardware key + MDM + EDR + FileVault. Self-managed as IT admin.,"A.6.2.2, A.9.2.3, A.11.2.8"
C3-EMP-007,mba-emp-priya-001,Priya Sharma - MacBook Air,Endpoint,Employee Device,MacBook Air M2 assigned to QA Engineer Priya Sharma,Devon Nakamura,IT Admin (Jordan Ellis),Engineering,IT Admin,Corporate,Endpoint (macOS),N/A,Remote / Home Office,macOS,Sonoma 14.4,N/A (DHCP),N/A,Current,No,Internal,"Test Scripts, Staging Credentials",No,No,2,Yes,ISO 27001,,,Active,2023-09-01,2025-01-10,N/A,FileVault + MDM. Staging/dev only. No prod access.,"A.6.2.2, A.11.2.8"
C3-EMP-008,mbp-emp-camille-001,Camille Fontaine - MacBook Pro,Endpoint,Employee Device,MacBook Pro 14 M3 assigned to Head of Product Camille Fontaine,Camille Fontaine,IT Admin (Jordan Ellis),Product,IT Admin,Corporate,Endpoint (macOS),N/A,Remote / Home Office,macOS,Sonoma 14.4,N/A (DHCP),N/A,Current,No,Confidential,"Product Roadmap, Design Assets, Customer Research",Yes,No,3,Yes,ISO 27001,,,Active,2023-03-15,2025-01-10,N/A,FileVault + MDM. Figma admin + Zoom admin on device.,"A.6.2.2, A.11.2.8"
C3-EMP-009,mba-emp-theo-001,Theo Mbeki - MacBook Air,Endpoint,Employee Device,MacBook Air M2 assigned to UX/UI Designer Theo Mbeki,Camille Fontaine,IT Admin (Jordan Ellis),Product,IT Admin,Corporate,Endpoint (macOS),N/A,Remote / Home Office,macOS,Sonoma 14.4,N/A (DHCP),N/A,Current,No,Internal,"Design Files, Wireframes, Brand Assets",No,No,2,Yes,ISO 27001,,,Active,2023-07-01,2025-01-10,N/A,FileVault + MDM. Design tooling only. No code or infra access.,"A.6.2.2, A.11.2.8"
C3-EMP-010,mba-emp-rachel-001,Rachel Kim - MacBook Air,Endpoint,Employee Device,MacBook Air M2 assigned to Head of Customer Success Rachel Kim,Marcus Okafor,IT Admin (Jordan Ellis),Customer Success,IT Admin,Corporate,Endpoint (macOS),N/A,Remote / Home Office,macOS,Sonoma 14.4,N/A (DHCP),N/A,Current,No,Confidential,"Customer Records, Support Tickets, Customer PII",Yes,No,4,Yes,ISO 27001,,,Active,2023-04-15,2025-01-10,N/A,FileVault + MDM. Intercom admin. Customer PII accessible via support tooling.,"A.6.2.2, A.11.2.8, A.18.1.4"
C3-EMP-011,mba-emp-derek-001,Derek Santos - MacBook Air,Endpoint,Employee Device,MacBook Air M2 assigned to Customer Success Manager Derek Santos,Marcus Okafor,IT Admin (Jordan Ellis),Customer Success,IT Admin,Corporate,Endpoint (macOS),N/A,Remote / Home Office,macOS,Sonoma 14.4,N/A (DHCP),N/A,Current,No,Confidential,"Customer Records, Support Tickets",Yes,No,3,Yes,ISO 27001,,,Active,2023-08-01,2025-01-10,N/A,FileVault + MDM. Standard user rights. Support ticket access only.,"A.6.2.2, A.11.2.8"
C3-EMP-012,mba-emp-yara-001,Yara Osei - MacBook Air,Endpoint,Employee Device,MacBook Air M2 assigned to Community Manager Yara Osei,Marcus Okafor,IT Admin (Jordan Ellis),Customer Success,IT Admin,Corporate,Endpoint (macOS),N/A,Remote / Home Office,macOS,Sonoma 14.4,N/A (DHCP),N/A,Current,No,Internal,"Forum Content, Community Member Data, Moderation Logs",Yes,No,2,Yes,ISO 27001,,,Active,2023-09-15,2025-01-10,N/A,FileVault + MDM. Forum admin access from this device.,"A.6.2.2, A.11.2.8"
C3-EMP-013,mba-emp-becca-001,Becca Tran - MacBook Air,Endpoint,Employee Device,MacBook Air M2 assigned to Head of Marketing Becca Tran,Penny Walsh,IT Admin (Jordan Ellis),Marketing,IT Admin,Corporate,Endpoint (macOS),N/A,Remote / Home Office,macOS,Sonoma 14.4,N/A (DHCP),N/A,Current,No,Internal,"Marketing Assets, Customer Email Lists, Campaign Data",Yes,No,3,Yes,ISO 27001,,,Active,2023-05-01,2025-01-10,N/A,FileVault + MDM. Mailchimp and Google Analytics admin. Email list = PII.,"A.6.2.2, A.11.2.8, A.18.1.4"
C3-EMP-014,mba-emp-noel-001,Noel Park - MacBook Air,Endpoint,Employee Device,MacBook Air M2 assigned to Content Creator Noel Park,Penny Walsh,IT Admin (Jordan Ellis),Marketing,IT Admin,Corporate,Endpoint (macOS),N/A,Remote / Home Office,macOS,Sonoma 14.4,N/A (DHCP),N/A,Current,No,Internal,"Content Drafts, Social Media Assets, Brand Media",No,No,2,Yes,ISO 27001,,,Active,2024-01-10,2025-01-10,N/A,FileVault + MDM. Social credentials via 1Password Marketing Vault only.,"A.6.2.2, A.11.2.8"
C3-EMP-015,mba-emp-iris-001,Iris Cohen - MacBook Air,Endpoint,Employee Device,MacBook Air M2 assigned to People & Operations Coordinator Iris Cohen,Marcus Okafor,IT Admin (Jordan Ellis),Operations,IT Admin,Corporate,Endpoint (macOS),N/A,Remote / Home Office,macOS,Sonoma 14.4,N/A (DHCP),N/A,Current,No,Restricted,"Employee PII, HR Records, Payroll Data, Onboarding Docs",Yes,No,5,Yes,ISO 27001,,,Active,2023-06-15,2025-01-10,N/A,FileVault + MDM. Rippling (HR) admin. Highest PII concentration outside engineering.,"A.6.2.2, A.11.2.8, A.18.1.4"
C3-EMP-016A,mba-emp-gloria-001,Gloria Adeyemi - MacBook Air,Endpoint,Employee Device,MacBook Air M2 assigned to Lead Crochet Instructor Gloria Adeyemi,Camille Fontaine,IT Admin (Jordan Ellis),Content,IT Admin,Corporate,Endpoint (macOS),N/A,Remote / Home Office,macOS,Sonoma 14.4,N/A (DHCP),N/A,Current,No,Internal,"Pattern Files, Lesson Plans, Instruction Recordings",No,No,2,Yes,ISO 27001,,,Active,2023-07-15,2025-01-10,N/A,FileVault + MDM. Primary work device for content creation.,"A.6.2.2, A.11.2.8"
C3-EMP-016B,ipad-emp-gloria-001,Gloria Adeyemi - iPad Pro,Endpoint,Employee Device,iPad Pro 12.9 assigned to Lead Crochet Instructor Gloria Adeyemi for live instruction,Camille Fontaine,IT Admin (Jordan Ellis),Content,IT Admin,Corporate,Endpoint (iPadOS),N/A,Remote / Home Office,iPadOS,17.3,N/A (DHCP),N/A,Current,No,Internal,"Instruction Session Media, Pattern Demos",No,No,2,Yes,ISO 27001,,,Active,2023-07-15,2025-01-10,N/A,MDM enrolled. Used for Microsoft Teams instruction demos only. No code or infra access.,"A.6.2.2, A.11.2.6"
C3-021,mailchimp-c3-account,Mailchimp,SaaS Tool,Marketing,Email marketing platform used to manage subscriber lists and send campaign emails to C3 customers.,Becca Tran,Becca Tran,Marketing,IT Admin,Corporate,SaaS (Mailchimp),,,,,,mailchimp.com/account,Current,No,Confidential,"Customer Email Addresses, Subscriber Lists, Campaign Engagement Data",Yes,No,4,Yes,ISO 27001,,,Active,2023-05-01,2025-01-15,,Becca is account admin. Noel has editor access. Email lists constitute PII. Unsubscribe compliance managed within platform. SSO not currently configured.,"A.5.19, A.18.1.4, A.5.34"
C3-022,google-analytics-c3,Google Analytics 4,SaaS Tool,Marketing,Web analytics platform tracking visitor behaviour on the C3 website and web application.,Becca Tran,Becca Tran,Marketing,IT Admin,Corporate,SaaS (Google),,,,,,analytics.google.com,Current,No,Internal,"Anonymised Web Traffic Data, Page Views, Conversion Events",No,No,2,Yes,ISO 27001,,,Active,2023-05-01,2025-01-15,,Becca is property admin. IP anonymisation enabled. No raw PII collected directly. Cookie consent managed on site.,"A.5.19, A.18.1.4"
C3-023,canva-c3-team,Canva for Teams,SaaS Tool,Marketing,"Cloud-based graphic design tool used by Marketing and Content teams for social media assets, campaign graphics, and instructional materials.",Becca Tran,Becca Tran,Marketing,IT Admin,Corporate,SaaS (Canva),,,,,,canva.com/brand/crochetcrochetcrochet,Current,No,Internal,"Brand Assets, Marketing Graphics, Content Templates",No,No,2,Yes,ISO 27001,,,Active,2023-05-01,2025-01-15,,Becca is team admin. Noel has editor access. No PII or sensitive data stored. Brand kit managed centrally.,A.5.19
C3-024,rippling-c3-account,Rippling (HRIS),SaaS Tool,HR & Operations,"Human Resources Information System managing employee records, payroll, onboarding, offboarding, and access provisioning for C3.",Iris Cohen,Iris Cohen,Operations,IT Admin,Corporate,SaaS (Rippling),,,,,,app.rippling.com,Current,No,Restricted,"Employee PII, Payroll Records, SSNs, Bank Account Details, Employment Contracts, Onboarding Docs",Yes,No,5,Yes,ISO 27001,,,Active,2023-06-15,2025-01-15,,Iris is system admin. Marcus has read access for payroll approval. Highest concentration of employee PII in the stack. SSO via Entra ID. MFA enforced. Access reviews conducted at each offboarding event.,"A.5.19, A.6.5, A.18.1.4, A.9.2.1"
C3-025,quickbooks-c3-account,QuickBooks Online,SaaS Tool,Finance,"Cloud-based accounting platform used to manage C3 financial records, invoicing, and expense tracking.",Marcus Okafor,Marcus Okafor,Finance,IT Admin,Corporate,SaaS (Intuit),,,,,,qbo.intuit.com,Current,No,Restricted,"Financial Records, Revenue Data, Vendor Invoices, Expense Reports",No,Yes,5,Yes,"ISO 27001, PCI DSS",,,Active,2023-02-01,2025-01-15,,Marcus is account admin. Iris has read-only access. PCI-adjacent due to financial data. No raw card data stored. Integrates with Stripe for reconciliation. MFA enforced.,"A.5.19, A.18.1.3, A.9.2.3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
